C2002	爱奇艺	好的平方APP手机门户网站，一站式整合服务平台，里面包含了单人间，双人间，整租，找房，兴趣组，社区，等多方面的内容，让你更方便快捷的找到自己的需求，欢迎各位下载使用。好的平方短租公寓—拥有最舒适的到达！
C29156	腾讯视频	好熙家一直致力于改善年轻一代租房生活现状，以及为闲置房业主提供资产增值管理一站式服务，好熙家结合市场需求，青年人租住特点，全力打造了西安本土首家青年长租公寓及全新O2O租房平台 【软件介绍】 好熙家是西安好熙家房屋托管有限公司开发的一块线上看房租房，在线交易的平台 【主要功能】   线上进行条件筛选找房，有整租和合租房供选择，也可以地
C121553	WPS Office	WiFi万能钥匙，提供安全免费上网服务，是一款用户真正的随身WiFi管理工具，帮助你自动查询周边开放免费安全WiFi热点信息，一键连接即可快速上网，是手机必备的安全免费上网工具。  在WiFi万能钥匙您可以：  - 一键查询免费WiFi,自动连接WiFi热点,即可安全免费上网;  - 随时随地畅连全国亿万免费WiFi热点,
C36902	WiFi万能钥匙	WiFi万能钥匙，提供安全免费上网服务，是一款用户真正的随身WiFi管理工具，帮助你自动查询周边开放免费安全WiFi热点信息，一键连接即可快速上网，是手机必备的安全免费上网工具。  在WiFi万能钥匙您可以：  - 一键查询免费WiFi,自动连接WiFi热点,即可安全免费上网;  - 随时随地畅连全国亿万免费WiFi热点,
C10049053	华为商城	【华为商城客户端 我的掌上购机神器】  预约抢购华为、荣耀新品，华为官方商城，值得信赖！HUAWEI P9、荣耀V8、荣耀畅玩5X、HUAWEI Mate8、荣耀7等众多热门手机及丰富的配件，每月促销活动不断，红包疯狂送，抽奖玩不停！  1、掌上购机神器 每周三移动端专场，手机抢购更便捷； 闹钟提醒，手机抢购不再错过；<b
C7166	微博	《水费管理系统》是针对各自来水公司及水利站等部门水费征收管理的一套系统。系统集基础信息设置、抄表、收费、票据打印、数据查询和统计分析于一体,具体包含了水费管理部门对用水户的资料管理、抄表员及收费员的日常工作管理以及收费情况统计查询和各种对比分析图形等，有助于各水管部门获取决策信息，提高工作效率。     《水费管理系统》在功能方面主要包括了水费管理、抄
C5373	支付宝	注册即送最高68元新人见面礼！  支付宝是蚂蚁金服集团旗下生活服务平台。支付宝9.0是支付宝十一年来最大的一次蜕变，除了继续内置风靡全国的“余额宝”，还信用卡、转账、充话费、缴水电煤全部免费，新支付宝还提供了以你为中心的餐饮、生活服务、理财保险、场景关系等一系列全新服务 。在这里你可以享受消费打折、为家人建立亲情账户，跟好友建群互动......这
C27162	华为应用市场	新版本特性： 1、你能搜到电影票、话费充值、视频、电子书等更多内容了； 2、游戏提前预约，福利礼包优先享； 3、新版应用更快更及时，第一时间享受新功能； 4、增强WLAN预约下载功能，下载更快； 5、新增新奇好玩等专区推荐。  华为应用市场 --放心下，畅快玩！ 1、提供新鲜、热辣、好玩的安卓应用 
C34075	手机淘宝	免费查违章专业版是一款支持全国违章查询的免费工具软件。数据直接与交管局同步，方便广大车主随时准确的查询违章信息。  【功能特点】 查询准确：数据直接和交管局同步，精准可靠; 操作简捷：输入车辆信息后，自动保存，不用再次输入，点击即可。违章时间、地点、扣分罚款一目了然; 多车查询：直接添加多辆汽车，同步查询各车违章记录; 自
C10132067	华为帐号	使用华为帐号登录后，您将可以使用这台设备的华为云服务、应用市场、华为商城、花粉俱乐部、游戏中心（包含下载的游戏）、手机服务、钱包及更多服务。你可以在以上应用中登录或者退出。 如需管理华为帐号或更新个人信息，EMUI3.0及以上手机可通过云服务、主题、音乐等应用，在我的界面点击头像进入帐号中心进行管理；EMUI4.0及以上手机 还可通过 设置->华
C10060708	华为支付	应用为华为钱包支付服务插件，无桌面图标，如需进行花币充值、银行卡管理、查询账单及体验其他钱包功能，请安装“华为钱包”。华为支付内包含零钱、花币、信用卡、借记卡、支付宝、微信支付、手机充值卡、手机话费支付(针对部分应用)等多种支付方式，使用华为账号登录，更可体验一键支付的方便快捷。
C5683	微信	重庆婚庆是一款介绍重庆本地婚庆的移动客户端，关注重庆婚庆的朋友注册会员之后，可以享受重庆婚庆平台的一切服务，企业商家可以加盟重庆婚庆平台，重庆婚庆AAP内介绍了众多的婚庆公司，该APP提高企业知名度，相信重庆婚庆APP会越来越完善！
C262	去哪儿旅行	旅游 旅游，去哪儿 去哪儿，酒店 酒店，机票 机票、火车票火车票，门票门票，度假度假，线路线路，快到碗里来！ 去哪儿旅行—总有你要的低价！  作为中国领先的无线和在线旅游平台，去哪儿旅行支持用户低价购买近60万条国内国际航线，42万家国内酒店、16万家国际酒店；超100万条国内外度假线路和2万种景点门票；享受国内160座城市，以及国外86座城市的
C10059090	华为游戏中心	华为游戏中心是华为公司提供的安卓游戏下载平台，所有游戏都经过专业的测评团队层层检测，为您推荐最安全质量最高的游戏内容， 目前我们有20万游戏聚众平台，个性化专题定制，和丰富多元的游戏礼包，还有游戏论坛供大家互动，华为游戏中心不单服务所有华为用户，还支持国内主流安卓机型。 新版本特性： 1、新增   资讯频道，最新热点、最强攻略、最全视频，完
C57236	今日头条	今天，看今日头条 今日头条，超过 4 亿用户选择的新闻资讯 App ！ 单用户每日使用时长超过60分钟 每天社交平台分享量达550万次 颠覆传统阅读——人“搜索”资讯的模式，运用大数据算法，精准推荐你感兴趣的内容，从此不受冗杂信息困扰，畅游个性化信息海洋，让你的阅读更加有用高效。   【海量内容源】 聚合超过5000
C10217244	华为钱包	华为钱包:1.“红酒”频道，精选莫塞尔多款进口红酒，享受华为特惠价格，让你足不出户品尝世界各地的葡萄佳酿！  2. “钱包”有生活服务、花币中心、红酒等频道，聚合优质服务，提供超值体验。  3. NFC线下支付，集手机支付和线下刷卡为一体，享受安全快捷的支付体验，省去了随身携带钱包、现金和银行卡的麻烦。（NFC支付功能当前支持荣耀V8全网通版、Mate S
C10021449	音乐	“Hui培训”APP是一个以用户所在位置搜索周围培训机构的掌上应用。可以为孩子提供“免费体验课”、”优惠课程“、“正式课程”以及“热门活动”查询与报名和在线支付和分享到qq空间，微信，微博等功能。 目前只支持北京地区
C5206	美团团购	美团团购:【超值活动】 又到毕业狂欢季，怀念不如相聚，美团送你25元红包，一起约起来吧！ 活动时间：6.23~6.29 【产品特点】 团购新用户1元吃喝玩乐，电影，酒店，外卖，美食，旅游优惠送；老用户名店抢购，大牌商家团购折上折； 精致美食，旅游团购，酒店预订，打折机票，特惠电影，在线买单，外卖立减，团购优惠根本停不下来！团购、美食、酒店、旅游
C3466	酷狗音乐	汽修网客户端实现汽车维修行业移动信息化，在企业与客户之间提供信息沟通的平台，提供了各类汽车的保养、美容、维修等的知识，以及定时退出最新的汽车资讯内容，也提供各类汽车的维修、保养、喷漆、等各种服务。。。
C21976	UC浏览器	《明星斗地主》是一款轻松休闲的创新型斗地主游戏，以《乡村爱情》的故事为背景，再加以小沈阳、刘能、赵四等耳熟能详的明星为原型，辅以真人配音，让你体验跟大明星一起打牌的快感！ 【游戏特色】 1、 超炫画面，搞笑配音：变身大明星，夸张搞笑的配音让你越斗越欢乐。 2、 联网竞技，智能单机：联网真人对战，高AI智能单机任你挑。 3、 独特卡牌，
C3382	百度地图	5亿人都在用的百度地图 【功能介绍】 最全最准手机地图，专业智能语音导航。 探索周边美食娱乐。在线订机票、酒店更享多重优惠。 明星趣味语音导航，躲避拥堵路线规划，实时公交多城市覆盖 海量地点信息，及时更新，查哪儿都知道 优步、专车、顺风车随叫随到 更有离线地图，节省流量。收藏夹可以同步云端，实现电脑、手机、Pad三端
C10067631	华为手机服务	华为手机服务:激活华为会员，立享精彩权益！ 更新到手机服务最新版本、免费激活会员，立享高级专属售后服务特权、VIP客服热线，还有160G免费空间、海量衣食住行礼包、华为商城优惠券等你抢！ “手机服务”为华为终端用户提供一站式售后服务，集成华为会员、在线寄修、预约维修、在线客服等十多项丰富的在线服务，旨在为亿万华为终端用户提供优质、省心、快捷的服务。 主要
